Temperature (°C),Humidity (%),Crop
25,70,Rice
30,65,Maize
20,75,Wheat
28,68,Sugarcane
22,80,Rice
32,60,Maize
18,85,Wheat
26,72,Sugarcane
24,78,Rice
29,63,Maize
21,82,Wheat
27,70,Sugarcane
23,76,Rice
31,62,Maize
19,83,Wheat
25,69,Sugarcane
26,78,Rice
29,64,Maize
20,86,Wheat
28,71,Sugarcane
24,75,Rice
30,66,Maize
22,78,Wheat
27,68,Sugarcane
23,77,Rice
32,61,Maize
18,84,Wheat
25,70,Sugarcane
26,79,Rice
29,65,Maize
21,81,Wheat
27,71,Sugarcane
23,77,Rice
31,63,Maize
19,84,Wheat
24,72,Sugarcane
25,78,Rice
30,66,Maize
20,85,Wheat
28,70,Sugarcane
22,76,Rice
31,62,Maize
18,83,Wheat
26,71,Sugarcane
23,78,Rice
32,60,Maize
20,86,Wheat
27,69,Sugarcane
24,76,Rice
29,64,Maize
21,82,Wheat
25,70,Sugarcane
26,77,Rice
30,65,Maize
22,80,Wheat
28,69,Sugarcane
23,76,Rice
31,62,Maize
19,83,Wheat
27,70,Sugarcane
24,75,Rice
32,61,Maize
18,84,Wheat
25,71,Sugarcane
26,78,Rice
30,66,Maize
22,78,Wheat
28,70,Sugarcane
23,77,Rice
31,63,Maize
19,84,Wheat
24,72,Sugarcane
25,78,Rice
29,65,Maize
21,81,Wheat
27,71,Sugarcane
23,78,Rice
32,60,Maize
20,85,Wheat
28,69,Sugarcane